***	**** Program	HYDRUS									
***	****										
Wel	come to HYDR	US-1D									
Dat	e:  25. 9.	Time:  16	: 0:13								
Uni	ts: L = mm	", T = min"	", M = mmo"		l						
											
											
Tim	e:       10.	0									
											
											
Nod	e      Depth	Head	Moisture	Ths	K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
89	-880	-1262.188	0.4901		1.14E-03	6.81E-05	-2.25E-03	0.00E+00	-1	-9.76E-03	20
90	-890	-1271.879	0.4895		1.13E-03	6.76E-05	-2.22E-03	0.00E+00	-1	-9.66E-03	20
91	-900	-1281.647	0.4889		1.11E-03	6.71E-05	-2.20E-03	0.00E+00	-1	-9.55E-03	20
92	-910	-1291.492	0.4883		1.09E-03	6.66E-05	-2.17E-03	0.00E+00	-1	-9.45E-03	20
93	-920	-1301.415	0.4876		1.08E-03	6.62E-05	-2.15E-03	0.00E+00	-1	-9.34E-03	20
94	-930	-1311.417	0.487		1.06E-03	6.57E-05	-2.12E-03	0.00E+00	-1	-9.23E-03	20
95	-940	-1321.497	0.4864		1.04E-03	6.52E-05	-2.10E-03	0.00E+00	-1	-9.11E-03	20
96	-950	-1331.66	0.4857		1.03E-03	6.47E-05	-2.07E-03	0.00E+00	-1	-9.00E-03	20
97	-960	-1341.902	0.4851		1.01E-03	6.42E-05	-2.04E-03	0.00E+00	-1	-8.88E-03	20
98	-970	-1352.227	0.4845		9.90E-04	6.37E-05	-2.02E-03	0.00E+00	-1	-8.76E-03	20
99	-980	-1362.634	0.4838		9.72E-04	6.32E-05	-1.99E-03	0.00E+00	-1	-8.64E-03	20
100	-990	-1373.125	0.4831		9.54E-04	6.27E-05	-1.96E-03	0.00E+00	-1	-8.52E-03	20
101	-1000	-1383.697	0.4825		9.37E-04	6.22E-05	-1.95E-03	0.00E+00	-1	-8.46E-03	20
end											
											
											
Tim	e:       20.	0									
											
											
Nod	e      Depth	Head	Moisture		K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
1	0	-15.21	0.6808		6.80E-02	2.08E-04	-5.50E-01	0.00E+00	-1	-2.39E+00	20
2	-10	-134.238	0.6504		1.47E-02	2.62E-04	-4.77E-01	0.00E+00	-1	-2.07E+00	20
3	-20	-656.769	0.5538		1.02E-03	1.27E-04	-2.74E-01	0.00E+00	-1	-1.19E+00	20
4	-30	-3116.086	0.4232		2.27E-05	2.48E-05	-6.52E-02	0.00E+00	-1	-2.84E-01	20
5	-40	-3956.548	0.4054		1.23E-05	1.87E-05	-7.10E-04	0.00E+00	-1	-3.09E-03	20
6	-50	-3890.785	0.4065		1.27E-05	1.90E-05	5.72E-04	0.00E+00	-1	2.49E-03	20
7	-60	-3649.507	0.4042		8.02E-05	2.07E-05	6.83E-04	0.00E+00	-1	2.97E-03	20
