 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 8.    Time:  14: 3: 1
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 11)                      Node( 31)                      Node( 51)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         34.2651     -859.79  0.5693 -0.250E+00      -4582.56  0.3972 -0.417E-05      -1874.53  0.4639  0.101E-01      -1084.93  0.5089 -0.841E-02      -1489.30  0.4825 -0.121E-02
         34.9820     -738.80  0.5822 -0.250E+00      -4582.95  0.3972  0.931E-07      -1872.91  0.4640  0.102E-01      -1084.91  0.5089 -0.838E-02      -1489.88  0.4825 -0.121E-02
         35.6988     -652.68  0.5928 -0.250E+00      -4583.36  0.3972  0.445E-05      -1871.30  0.4641  0.102E-01      -1084.90  0.5089 -0.834E-02      -1490.45  0.4824 -0.121E-02
         36.7741     -557.83  0.6060 -0.250E+00      -4584.02  0.3971  0.112E-04      -1868.92  0.4642  0.102E-01      -1084.92  0.5089 -0.829E-02      -1491.28  0.4824 -0.121E-02
         37.8494     -478.40  0.6184 -0.250E+00      -4584.72  0.3971  0.180E-04      -1866.59  0.4643  0.102E-01      -1084.97  0.5089 -0.824E-02      -1492.10  0.4823 -0.120E-02
         38.9247     -420.60  0.6293 -0.250E+00      -4585.46  0.3971  0.251E-04      -1864.29  0.4644  0.102E-01      -1085.05  0.5089 -0.818E-02      -1492.90  0.4823 -0.120E-02
         40.0000     -366.87  0.6398 -0.250E+00      -4586.25  0.3971  0.322E-04      -1862.04  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.120E-02
         40.0001     -366.46  0.6398 -0.169E+00      -4586.25  0.3971  0.323E-04      -1862.04  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.978E-03
         40.0002     -366.57  0.6398 -0.171E+00      -4586.25  0.3971  0.323E-04      -1862.04  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.978E-03
         40.0004     -366.49  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.04  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.978E-03
         40.0006     -366.53  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.04  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.978E-03
         40.0009     -366.52  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.04  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.978E-03
         40.0013     -366.54  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.04  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.138E-02
         40.0018     -366.55  0.6398 -0.170E+00      -4586.24  0.3971  0.323E-04      -1862.03  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.129E-02
         40.0024     -366.57  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.03  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.122E-02
         40.0032     -366.59  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.03  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.116E-02
         40.0043     -366.63  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.03  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.126E-02
         40.0056     -366.67  0.6398 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.03  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.119E-02
         40.0074     -366.72  0.6397 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.02  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.123E-02
         40.0098     -366.80  0.6397 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.02  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.69  0.4822 -0.123E-02
         40.0128     -366.89  0.6397 -0.170E+00      -4586.25  0.3971  0.323E-04      -1862.01  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.70  0.4822 -0.117E-02
         40.0167     -367.00  0.6397 -0.170E+00      -4586.26  0.3971  0.324E-04      -1862.00  0.4645  0.102E-01      -1085.16  0.5089 -0.812E-02      -1493.70  0.4822 -0.120E-02
         40.0218     -367.15  0.6397 -0.170E+00      -4586.26  0.3971  0.324E-04      -1861.99  0.4645  0.102E-01      -1085.17  0.5089 -0.812E-02      -1493.70  0.4822 -0.121E-02
         40.0285     -367.34  0.6396 -0.170E+00      -4586.27  0.3971  0.324E-04      -1861.98  0.4645  0.102E-01      -1085.17  0.5089 -0.812E-02      -1493.71  0.4822 -0.120E-02
         40.0372     -367.59  0.6396 -0.170E+00      -4586.27  0.3971  0.325E-04      -1861.96  0.4645  0.102E-01      -1085.17  0.5089 -0.812E-02      -1493.71  0.4822 -0.120E-02
         40.0484     -367.89  0.6395 -0.170E+00      -4586.28  0.3971  0.326E-04      -1861.93  0.4645  0.102E-01      -1085.17  0.5089 -0.812E-02      -1493.72  0.4822 -0.120E-02
         40.0630     -368.26  0.6394 -0.170E+00      -4586.29  0.3971  0.327E-04      -1861.91  0.4645  0.102E-01      -1085.17  0.5089 -0.812E-02      -1493.73  0.4822 -0.120E-02
         40.0820     -368.72  0.6393 -0.170E+00      -4586.31  0.3971  0.328E-04      -1861.87  0.4645  0.102E-01      -1085.17  0.5089 -0.812E-02      -1493.75  0.4822 -0.120E-02
         40.1067     -369.28  0.6392 -0.170E+00      -4586.32  0.3971  0.330E-04      -1861.81  0.4645  0.102E-01      -1085.18  0.5089 -0.812E-02      -1493.77  0.4822 -0.120E-02
         40.1388     -369.92  0.6390 -0.170E+00      -4586.35  0.3971  0.332E-04      -1861.75  0.4645  0.102E-01      -1085.18  0.5089 -0.811E-02      -1493.79  0.4822 -0.120E-02
         40.1806     -370.64  0.6389 -0.170E+00      -4586.38  0.3971  0.334E-04      -1861.66  0.4645  0.102E-01      -1085.18  0.5089 -0.811E-02      -1493.82  0.4822 -0.120E-02
         40.2349     -371.44  0.6387 -0.170E+00      -4586.42  0.3971  0.338E-04      -1861.55  0.4645  0.102E-01      -1085.19  0.5089 -0.811E-02      -1493.86  0.4822 -0.120E-02
         40.3054     -372.24  0.6385 -0.170E+00      -4586.47  0.3971  0.343E-04      -1861.40  0.4645  0.102E-01      -1085.20  0.5089 -0.810E-02      -1493.91  0.4822 -0.120E-02
         40.3972     -372.96  0.6383 -0.170E+00      -4586.54  0.3971  0.349E-04      -1861.21  0.4645  0.102E-01      -1085.21  0.5089 -0.810E-02      -1493.98  0.4822 -0.120E-02
         40.5164     -373.44  0.6382 -0.170E+00      -4586.63  0.3971  0.357E-04      -1860.96  0.4646  0.102E-01      -1085.22  0.5089 -0.809E-02      -1494.06  0.4822 -0.120E-02
         40.6715     -373.44  0.6382 -0.170E+00      -4586.75  0.3971  0.367E-04      -1860.64  0.4646  0.102E-01      -1085.24  0.5089 -0.808E-02      -1494.17  0.4822 -0.120E-02
         40.8730     -372.62  0.6384 -0.170E+00      -4586.90  0.3971  0.381E-04      -1860.22  0.4646  0.102E-01      -1085.27  0.5089 -0.807E-02      -1494.32  0.4822 -0.120E-02
         41.1350     -370.57  0.6389 -0.170E+00      -4587.10  0.3971  0.399E-04      -1859.69  0.4646  0.102E-01      -1085.30  0.5089 -0.806E-02      -1494.51  0.4822 -0.120E-02
         41.4756     -366.70  0.6397 -0.170E+00      -4587.37  0.3971  0.422E-04      -1858.99  0.4646  0.102E-01      -1085.35  0.5089 -0.804E-02      -1494.75  0.4822 -0.120E-02
         41.9184     -360.25  0.6412 -0.170E+00      -4587.72  0.3971  0.453E-04      -1858.10  0.4647  0.102E-01      -1085.41  0.5089 -0.801E-02      -1495.06  0.4822 -0.120E-02
         42.4940     -351.72  0.6431 -0.170E+00      -4588.19  0.3971  0.493E-04      -1856.95  0.4647  0.102E-01      -1085.51  0.5089 -0.798E-02      -1495.46  0.4821 -0.119E-02
         43.2446     -339.78  0.6457 -0.170E+00      -4588.83  0.3971  0.546E-04      -1855.47  0.4648  0.102E-01      -1085.64  0.5089 -0.794E-02      -1495.98  0.4821 -0.119E-02
         44.2096     -323.42  0.6494 -0.170E+00      -4589.67  0.3971  0.614E-04      -1853.61  0.4649  0.102E-01      -1085.84  0.5088 -0.788E-02      -1496.64  0.4821 -0.119E-02
         45.3677     -304.22  0.6537 -0.170E+00      -4590.73  0.3970  0.697E-04      -1851.43  0.4650  0.102E-01      -1086.10  0.5088 -0.782E-02      -1497.42  0.4820 -0.119E-02
         46.9118     -284.52  0.6585 -0.170E+00      -4592.23  0.3970  0.810E-04      -1848.62  0.4651  0.102E-01      -1086.50  0.5088 -0.773E-02      -1498.43  0.4820 -0.119E-02
